Station Name,Travel Time
Krynica Zdrój_i,0
Krynica Zdrój_o,10
Muszyna Zdrój_i,1
Muszyna Zdrój_o,2
Muszyna_i,19
Muszyna_o,13
Żegiestów Zdrój_i,1
Żegiestów Zdrój_o,10
Wierchomla Wielka_i,1
Wierchomla Wielka_o,4
Łomnica Zdrój_i,1
Łomnica Zdrój_o,4
Piwniczna Zdrój_i,1
Piwniczna Zdrój_o,6
Rytro_i,1
Rytro_o,8
Stary Sącz_i,1
Stary Sącz_o,6
Nowy Sącz_i,2
Nowy Sącz_o,28
Grybów_i,1
Grybów_o,4
Stróże_i,2
Stróże_o,7
Bobowa Miasto_i,1
Bobowa Miasto_o,12
Bogoniowice Ciężkowice_i,1
Bogoniowice Ciężkowice_o,13
Tuchów_i,1
Tuchów_o,25
Tarnów_i,4
Tarnów_o,15
Brzesko Okocim_i,1
Brzesko Okocim_o,7
Bochnia_i,1
Bochnia_o,50
Kraków Główny_i,0
Kraków Główny_o,1908
